parametri,Profitto Netto,totale
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 2.000000000000001}",5107.799999999992,324
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.1000000000000005}",5098.200000000028,320
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 2.3000000000000007}",5079.000000000123,332
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.500000000000001}",5074.200000000073,274
"{""perditaMassima"": 1.1000000000000003, ""vincitaMassima"": 1.3000000000000003}",5059.200000000179,532
"{""perditaMassima"": 0.6000000000000001, ""vincitaMassima"": 2.3000000000000007}",5056.200000000107,478
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 1.3000000000000003}",5055.600000000224,462
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.2000000000000004}",5050.199999999763,521
"{""perditaMassima"": 0.7000000000000002, ""vincitaMassima"": 2.1000000000000005}",5041.800000000032,399
"{""perditaMassima"": 1.3000000000000003, ""vincitaMassima"": 1.9000000000000006}",5035.199999999928,345
"{""perditaMassima"": 1.8000000000000005, ""vincitaMassima"": 2.500000000000001}",5024.399999999925,264
"{""perditaMassima"": 1.6000000000000003, ""vincitaMassima"": 1.3000000000000003}",4976.40000000018,482
"{""perditaMassima"": 1.7000000000000004, ""vincitaMassima"": 2.200000000000001}",4976.400000000001,360
"{""perditaMassima"": 2.1000000000000005, ""vincitaMassima"": 2.600000000000001}",4963.199999999997,232
"{""perditaMassima"": 1.9000000000000006, ""vincitaMassima"": 2.400000000000001}",4954.1999999999825,278
"{""perditaMassima"": 0.30000000000000004, ""vincitaMassima"": 1.9000000000000006}",4941.599999999906,550
"{""perditaMassima"": 1.5000000000000004, ""vincitaMassima"": 1.2000000000000004}",4932.59999999988,500
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.600000000000001}",4923.000000000023,228
"{""perditaMassima"": 0.4000000000000001, ""vincitaMassima"": 2.000000000000001}",4915.799999999921,542
"{""perditaMassima"": 1.4000000000000004, ""vincitaMassima"": 2.9000000000000012}",4894.799999999963,275
"{""perditaMassima"": 2.200000000000001, ""vincitaMassima"": 2.500000000000001}",4889.400000000059,239
